Christian Bale,1974-01-30,UK,male,45
Sean Bean,1959-04-17,UK,male,60
Orlando Bloom,1977-01-13,UK,male,42
Morgan Freeman,1937-06-01,USA,male,82
Cate Blanchett,1969-05-14,Australia,female,50
