The Shawshank Redemption,1994,25.5,59.65,USA,9.3,188, Breathtaking story about escape
The Dark Knight,2008,185,1004.9,USA,9.0,192, BATMAN
The Lord of the Rings: The Return of the King,2003,940,1120,USA,8.9,201,Amazing story about Hobbit and Ring
